,localNounOverlapCount,localArgumentOverlapCount,localStemOverlapCount,localContentWordOverlap,globalNounOverlapCount,globalArgumentOverlapCount,globalStemOverlapCount,globalContentWordOverlap
88888,0.0,0.5384615384615384,0.5384615384615384,4.384615384615385,0.0,2.230769230769231,2.3076923076923075,24.23076923076923
207958,0.0,0.4,0.4,6.2,0.0,1.9,1.9,32.8
93821,0.0,0.5263157894736842,0.5789473684210527,5.421052631578948,0.0,3.0,3.1578947368421053,39.26315789473684
224263,0.0,0.3333333333333333,0.38095238095238093,3.3333333333333335,0.0,3.0476190476190474,3.619047619047619,30.523809523809526
68828,0.0,0.1875,0.1875,4.0625,0.0,1.5625,1.6875,25.6875
256174,0.0,0.2777777777777778,0.2777777777777778,2.888888888888889,0.0,2.0555555555555554,2.111111111111111,22.38888888888889
47797,0.0,0.5833333333333334,0.5833333333333334,15.25,0.0,2.3333333333333335,2.3333333333333335,66.58333333333333
58151,0.0,0.42857142857142855,0.5714285714285714,5.357142857142857,0.0,3.0,3.5,33.857142857142854
160225,0.0,0.35294117647058826,0.5294117647058824,3.6470588235294117,0.0,2.5294117647058822,3.235294117647059,26.823529411764707
48724,0.0,0.5,0.5,2.357142857142857,0.0,4.464285714285714,4.464285714285714,25.142857142857142
40247,0.0,0.3,0.3,11.15,0.0,3.0,3.3,88.0
61531,0.0,0.42105263157894735,0.42105263157894735,2.6842105263157894,0.0,2.1578947368421053,2.3157894736842106,22.473684210526315
238645,0.0,0.3448275862068966,0.3448275862068966,2.3793103448275863,0.0,2.896551724137931,3.0,34.10344827586207
46826,0.0,0.6153846153846154,0.6153846153846154,3.769230769230769,0.0,2.769230769230769,2.769230769230769,20.384615384615383
125845,0.0,0.6153846153846154,0.6153846153846154,5.153846153846154,0.0,3.4615384615384617,3.4615384615384617,26.384615384615383
211611,0.0,0.35294117647058826,0.4117647058823529,2.5294117647058822,0.0,2.8823529411764706,3.1176470588235294,21.235294117647058
226601,0.0,0.2857142857142857,0.2857142857142857,3.1904761904761907,0.0,1.8571428571428572,2.1904761904761907,26.904761904761905
96642,0.0,0.5555555555555556,0.5555555555555556,10.666666666666666,0.0,1.6666666666666667,1.7777777777777777,33.22222222222222
34984,0.0,0.19047619047619047,0.3333333333333333,6.666666666666667,0.0,2.1904761904761907,2.8095238095238093,72.57142857142857
89951,0.0,0.6111111111111112,0.6111111111111112,10.444444444444445,0.0,4.888888888888889,4.888888888888889,79.55555555555556
102184,0.0,0.6470588235294118,0.7058823529411765,13.823529411764707,0.0,5.176470588235294,5.352941176470588,124.23529411764706
87400,0.0,0.55,0.55,5.55,0.0,4.2,4.2,52.3
50479,0.0,0.6,0.7333333333333333,9.133333333333333,0.0,2.066666666666667,2.466666666666667,52.86666666666667
256935,0.0,0.3793103448275862,0.3793103448275862,2.9655172413793105,0.0,5.379310344827586,5.620689655172414,39.724137931034484
233405,0.0,0.45,0.45,6.45,0.0,3.45,3.6,49.25
65939,0.0,0.5882352941176471,0.5882352941176471,12.941176470588236,0.0,4.0588235294117645,4.235294117647059,58.05882352941177
83400,0.0,0.4666666666666667,0.4666666666666667,5.2,0.0,1.5333333333333334,1.6666666666666667,34.266666666666666
22373,0.0,0.46153846153846156,0.5384615384615384,9.538461538461538,0.0,2.6923076923076925,2.8461538461538463,59.38461538461539
230692,0.0,0.22727272727272727,0.22727272727272727,3.9545454545454546,0.0,1.3181818181818181,1.3636363636363635,28.59090909090909
29771,0.0,0.5,0.6666666666666666,13.583333333333334,0.0,2.0,2.3333333333333335,63.083333333333336
76124,0.0,0.6923076923076923,0.6923076923076923,6.153846153846154,0.0,3.3846153846153846,3.3846153846153846,38.84615384615385
31544,0.0,0.46153846153846156,0.46153846153846156,5.615384615384615,0.0,2.230769230769231,2.4615384615384617,29.76923076923077
29751,0.0,0.21428571428571427,0.2857142857142857,4.571428571428571,0.0,1.6428571428571428,2.0714285714285716,28.5
98155,0.0,0.3181818181818182,0.3181818181818182,3.5,0.0,3.1363636363636362,3.3181818181818183,31.181818181818183
209775,0.0,0.6923076923076923,0.6923076923076923,7.538461538461538,0.0,3.3846153846153846,3.3846153846153846,44.0
32681,0.0,0.6666666666666666,0.6666666666666666,7.555555555555555,0.0,2.5555555555555554,2.5555555555555554,41.888888888888886
370404,0.0,0.5555555555555556,0.5555555555555556,5.666666666666667,0.0,4.166666666666667,4.166666666666667,42.333333333333336
80855,0.0,0.2608695652173913,0.2608695652173913,3.1739130434782608,0.0,1.6521739130434783,1.826086956521739,26.0
101880,0.0,0.4,0.43333333333333335,6.833333333333333,0.0,5.266666666666667,5.566666666666666,82.1
46808,0.0,0.5333333333333333,0.5333333333333333,3.933333333333333,0.0,2.6666666666666665,2.6666666666666665,26.4
125868,0.0,0.8235294117647058,0.8235294117647058,3.235294117647059,0.0,5.470588235294118,5.470588235294118,22.88235294117647
81668,0.0,0.5454545454545454,0.6363636363636364,19.727272727272727,0.0,3.1818181818181817,3.3636363636363638,74.81818181818181
116219,0.0,0.3333333333333333,0.42857142857142855,3.6666666666666665,0.0,3.5238095238095237,3.761904761904762,34.285714285714285
224285,0.0,0.29411764705882354,0.35294117647058826,4.235294117647059,0.0,2.235294117647059,2.5294117647058822,29.294117647058822
238889,0.0,0.5333333333333333,0.6,6.266666666666667,0.0,4.266666666666667,4.4,45.4
84133,0.0,0.38461538461538464,0.38461538461538464,3.5,0.0,3.076923076923077,3.1923076923076925,37.42307692307692
