,synonymToNouns,synonymToVerbs,averageSynClassNOUN,averageSynClassVERB
88888,0.9411764705882353,0.8823529411764706,1.0625,1.1333333333333333
207958,0.9411764705882353,0.8823529411764706,1.0625,1.1333333333333333
93821,0.9285714285714286,0.75,1.0769230769230769,1.3333333333333333
224263,0.875,0.8235294117647058,1.1428571428571428,1.2142857142857142
68828,1.0,0.9411764705882353,1.0,1.0625
256174,0.96,0.8666666666666667,1.0416666666666667,1.1538461538461537
47797,0.9473684210526315,0.7,1.0555555555555556,1.4285714285714286
58151,0.8666666666666667,0.8333333333333334,1.1538461538461537,1.2
160225,0.92,0.8333333333333334,1.0869565217391304,1.2
48724,1.0,0.7419354838709677,1.0,1.3478260869565217
40247,0.8888888888888888,0.5952380952380952,1.125,1.68
61531,0.9230769230769231,1.0,1.0833333333333333,1.0
238645,1.0,0.7,1.0,1.4285714285714286
46826,0.9375,0.96,1.0666666666666667,1.0416666666666667
125845,0.9411764705882353,0.7777777777777778,1.0625,1.2857142857142858
211611,0.8636363636363636,0.9444444444444444,1.1578947368421053,1.0588235294117647
226601,0.88,0.8695652173913043,1.1363636363636365,1.15
96642,0.9047619047619048,1.0,1.105263157894737,1.0
34984,0.9375,0.7941176470588235,1.0666666666666667,1.2592592592592593
89951,0.9555555555555556,0.8148148148148148,1.0465116279069768,1.2272727272727273
102184,0.9655172413793104,0.8181818181818182,1.0357142857142858,1.2222222222222223
87400,1.0,0.7692307692307693,1.0,1.3
50479,0.9565217391304348,0.8571428571428571,1.0454545454545454,1.1666666666666667
256935,0.9354838709677419,0.7058823529411765,1.0689655172413792,1.4166666666666667
233405,0.9333333333333333,0.6578947368421053,1.0714285714285714,1.52
65939,0.9743589743589743,0.5666666666666667,1.0263157894736843,1.7647058823529411
83400,0.9130434782608695,0.8846153846153846,1.0952380952380953,1.1304347826086956
22373,0.92,0.8095238095238095,1.0869565217391304,1.2352941176470589
230692,0.9787234042553191,0.7916666666666666,1.0217391304347827,1.263157894736842
29771,0.9310344827586207,0.7878787878787878,1.0740740740740742,1.2692307692307692
76124,1.0,0.8387096774193549,1.0,1.1923076923076923
31544,0.9,0.6666666666666666,1.1111111111111112,1.5
29751,1.0,0.7647058823529411,1.0,1.3076923076923077
98155,0.9545454545454546,0.7391304347826086,1.0476190476190477,1.3529411764705883
209775,0.8695652173913043,0.8235294117647058,1.15,1.2142857142857142
32681,0.9583333333333334,0.8571428571428571,1.0434782608695652,1.1666666666666667
370404,1.0,0.8235294117647058,1.0,1.2142857142857142
80855,0.9545454545454546,0.782608695652174,1.0476190476190477,1.2777777777777777
101880,0.90625,0.5641025641025641,1.103448275862069,1.7727272727272727
46808,0.95,0.7777777777777778,1.0526315789473684,1.2857142857142858
125868,1.0,0.6470588235294118,1.0,1.5454545454545454
81668,1.0,0.6896551724137931,1.0,1.45
116219,0.9230769230769231,0.8,1.0833333333333333,1.25
224285,0.8148148148148148,0.7894736842105263,1.2272727272727273,1.2666666666666666
238889,0.8928571428571429,0.7777777777777778,1.12,1.2857142857142858
84133,0.9655172413793104,0.95,1.0357142857142858,1.0526315789473684
27798,0.8888888888888888,0.9090909090909091,1.125,1.1
199215,0.9411764705882353,0.8571428571428571,1.0625,1.1666666666666667
264418,0.96875,0.7741935483870968,1.032258064516129,1.2916666666666667
91292,1.0,0.8666666666666667,1.0,1.1538461538461537
272624,0.9459459459459459,0.7714285714285715,1.0571428571428572,1.2962962962962963
107182,0.9333333333333333,0.5357142857142857,1.0714285714285714,1.8666666666666667
114945,1.0,0.7647058823529411,1.0,1.3076923076923077
41381,1.0,0.9444444444444444,1.0,1.0588235294117647
89266,0.9090909090909091,0.7777777777777778,1.1,1.2857142857142858
230422,0.8979591836734694,0.7,1.1136363636363635,1.4285714285714286
223926,0.9047619047619048,0.7,1.105263157894737,1.4285714285714286
61035,0.9285714285714286,0.8095238095238095,1.0769230769230769,1.2352941176470589
121400,0.9642857142857143,0.8421052631578947,1.037037037037037,1.1875
202431,1.0,0.8421052631578947,1.0,1.1875
299754,0.84,0.7419354838709677,1.1904761904761905,1.3478260869565217
193291,0.9523809523809523,0.7222222222222222,1.05,1.3846153846153846
111363,0.9615384615384616,0.8947368421052632,1.04,1.1176470588235294
22689,0.8666666666666667,0.9130434782608695,1.1538461538461537,1.0952380952380953
187775,0.8823529411764706,0.84375,1.1333333333333333,1.1851851851851851
136211,1.0,0.782608695652174,1.0,1.2777777777777777
87434,0.8846153846153846,0.8260869565217391,1.1304347826086956,1.2105263157894737
41032,1.0,0.7142857142857143,1.0,1.4
261902,0.8461538461538461,0.62,1.1818181818181819,1.6129032258064515
