,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun
88888,0.95,1.4615384615384615,0.10160427807486631,1.3076923076923077,0.09090909090909091,0.15384615384615385,0.0106951871657754,0.15384615384615385,0.0106951871657754,0.25
207958,1.0,2.5,0.11574074074074074,2.4,0.1111111111111111,0.1,0.004629629629629629,0.6,0.027777777777777776,0.48
93821,0.6923076923076923,1.4210526315789473,0.08282208588957055,1.4210526315789473,0.08282208588957055,0.0,0.0,1.0526315789473684,0.06134969325153374,0.2564102564102564
224263,0.696969696969697,1.0952380952380953,0.08424908424908426,1.0476190476190477,0.08058608058608059,0.047619047619047616,0.003663003663003663,0.8095238095238095,0.06227106227106227,0.3333333333333333
68828,0.5172413793103449,0.9375,0.07692307692307693,0.8125,0.06666666666666667,0.125,0.010256410256410256,0.0625,0.005128205128205128,0.4827586206896552
256174,0.7575757575757576,1.3888888888888888,0.1141552511415525,1.1666666666666667,0.0958904109589041,0.2222222222222222,0.0182648401826484,0.3333333333333333,0.0273972602739726,0.21212121212121213
47797,0.6296296296296297,1.4166666666666667,0.07172995780590717,1.4166666666666667,0.07172995780590717,0.0,0.0,0.6666666666666666,0.03375527426160337,0.5185185185185185
58151,0.92,1.6428571428571428,0.12234042553191489,1.6428571428571428,0.12234042553191489,0.0,0.0,0.21428571428571427,0.015957446808510637,0.52
160225,0.625,1.1764705882352942,0.07905138339920949,0.9411764705882353,0.06324110671936758,0.23529411764705882,0.015810276679841896,0.6470588235294118,0.043478260869565216,0.9375
48724,1.2894736842105263,1.75,0.1550632911392405,1.7142857142857142,0.1518987341772152,0.03571428571428571,0.0031645569620253164,0.14285714285714285,0.012658227848101266,0.2894736842105263
40247,0.47619047619047616,1.5,0.06772009029345373,1.4,0.06320541760722348,0.1,0.004514672686230248,1.35,0.060948081264108354,0.4126984126984127
61531,0.8125,1.368421052631579,0.1187214611872146,1.263157894736842,0.1095890410958904,0.10526315789473684,0.0091324200913242,0.47368421052631576,0.0410958904109589,0.34375
238645,1.2222222222222223,1.5172413793103448,0.12394366197183099,1.2758620689655173,0.10422535211267606,0.2413793103448276,0.01971830985915493,0.3448275862068966,0.028169014084507043,0.8055555555555556
46826,1.5,2.769230769230769,0.16071428571428573,2.3076923076923075,0.13392857142857142,0.46153846153846156,0.026785714285714284,0.38461538461538464,0.022321428571428572,0.7083333333333334
125845,1.0833333333333333,2.0,0.1092436974789916,1.9230769230769231,0.10504201680672269,0.07692307692307693,0.004201680672268907,0.6153846153846154,0.03361344537815126,0.8333333333333334
211611,0.7666666666666667,1.3529411764705883,0.1031390134529148,1.3529411764705883,0.1031390134529148,0.0,0.0,0.47058823529411764,0.03587443946188341,0.5666666666666667
226601,0.5384615384615384,1.0,0.07581227436823104,0.9047619047619048,0.06859205776173286,0.09523809523809523,0.007220216606498195,0.5714285714285714,0.04332129963898917,0.6153846153846154
96642,0.6551724137931034,2.111111111111111,0.09047619047619047,2.111111111111111,0.09047619047619047,0.0,0.0,1.1111111111111112,0.047619047619047616,0.41379310344827586
34984,0.6607142857142857,1.7619047619047619,0.08447488584474885,1.5714285714285714,0.07534246575342465,0.19047619047619047,0.0091324200913242,1.2380952380952381,0.0593607305936073,0.35714285714285715
89951,0.9384615384615385,3.388888888888889,0.14352941176470588,3.2222222222222223,0.13647058823529412,0.16666666666666666,0.007058823529411765,0.7777777777777778,0.03294117647058824,0.3076923076923077
102184,1.5,3.8823529411764706,0.13279678068410464,3.8823529411764706,0.13279678068410464,0.0,0.0,1.6470588235294117,0.056338028169014086,0.3409090909090909
87400,1.7916666666666667,2.15,0.12684365781710916,2.15,0.12684365781710916,0.0,0.0,0.15,0.008849557522123894,0.9583333333333334
50479,0.9117647058823529,2.066666666666667,0.1183206106870229,1.8666666666666667,0.10687022900763359,0.2,0.011450381679389313,0.7333333333333333,0.04198473282442748,0.23529411764705882
256935,0.8448275862068966,1.6896551724137931,0.11264367816091954,1.6206896551724137,0.10804597701149425,0.06896551724137931,0.004597701149425287,0.3103448275862069,0.020689655172413793,0.13793103448275862
233405,0.8928571428571429,2.5,0.12224938875305623,2.25,0.1100244498777506,0.25,0.012224938875305624,0.6,0.029339853300733496,0.32142857142857145
65939,1.148936170212766,3.176470588235294,0.1377551020408163,3.1176470588235294,0.13520408163265307,0.058823529411764705,0.002551020408163265,0.8823529411764706,0.03826530612244898,0.1702127659574468
83400,0.40540540540540543,1.0,0.05813953488372093,1.0,0.05813953488372093,0.0,0.0,0.6666666666666666,0.03875968992248062,0.32432432432432434
22373,0.6585365853658537,2.076923076923077,0.08794788273615635,2.0,0.08469055374592833,0.07692307692307693,0.003257328990228013,1.0769230769230769,0.04560260586319218,0.1951219512195122
230692,0.5882352941176471,1.3636363636363635,0.08498583569405099,1.2272727272727273,0.0764872521246459,0.13636363636363635,0.0084985835694051,0.7727272727272727,0.04815864022662889,0.8627450980392157
29771,0.6086956521739131,2.3333333333333335,0.09032258064516129,1.8333333333333333,0.07096774193548387,0.5,0.01935483870967742,0.8333333333333334,0.03225806451612903,0.2391304347826087
76124,0.9444444444444444,2.6153846153846154,0.11074918566775244,2.6153846153846154,0.11074918566775244,0.0,0.0,0.7692307692307693,0.03257328990228013,0.2222222222222222
31544,1.125,2.076923076923077,0.11020408163265306,2.0,0.10612244897959183,0.07692307692307693,0.004081632653061225,0.6923076923076923,0.036734693877551024,0.5
29751,0.5,1.2142857142857142,0.07391304347826087,1.0714285714285714,0.06521739130434782,0.14285714285714285,0.008695652173913044,0.5,0.030434782608695653,0.5882352941176471
