,TTR,CorrectedTTR,RootTTR,BilogTTR,MTLD
88888,0.08021390374331551,0.7756315349925288,1.096908636190696,0.5176818910578335,36.153333333333336
207958,0.07407407407407407,0.769800358919501,1.0886621079036347,0.5158037429793887,37.829508196721314
93821,0.049079754601226995,0.6266083599903659,0.886158040994738,0.47911489344312014,61.00257510729614
224263,0.05860805860805861,0.6847367880174606,0.9683640522700839,0.4942691261269389,28.48951682484901
68828,0.06153846153846154,0.6076436202502,0.8593378488473195,0.47125106349616996,38.478609625668454
256174,0.0730593607305936,0.7645095721079945,1.0811798054391775,0.5144835439654073,42.00491803278689
47797,0.06751054852320675,0.7349043394794006,1.0393116839386094,0.5070516144074836,26.6625
58151,0.0797872340425532,0.773565934694095,1.0939874362342092,0.517154629102141,23.5
160225,0.06324110671936758,0.7112867591590193,1.0059113815390903,0.5010651659146763,53.49247467438495
48724,0.05063291139240506,0.636445827340584,0.9000703207408192,0.48170828702071694,35.111111111111114
40247,0.03611738148984198,0.5375305125467167,0.7601829410329278,0.45500237576162916,35.09925727173744
61531,0.0730593607305936,0.7645095721079945,1.0811798054391775,0.5144835439654073,25.854166666666664
238645,0.04507042253521127,0.6004693000326412,0.8491918278948404,0.47216163259004884,51.77083333333333
46826,0.07142857142857142,0.7559289460184544,1.0690449676496976,0.5123374100361525,53.18875502008032
125845,0.06302521008403361,0.6875238727711586,0.9723055853282466,0.4948677363733756,55.34497206703911
211611,0.07174887892376682,0.7576219580966055,1.0714392482918802,0.5127613546279275,51.98310810810811
226601,0.05776173285198556,0.6797748618593398,0.9613468290017755,0.49299077024377685,48.27790641582248
96642,0.0761904761904762,0.7807200583588266,1.1041048949477668,0.5185212203629948,53.502351964582175
34984,0.03424657534246575,0.5068030337996144,0.716727723851245,0.4452405020283298,38.97059057466693
89951,0.03529411764705882,0.5144957554275266,0.7276068751089989,0.4474570888689479,34.21402171402171
102184,0.03219315895372234,0.5074891837564409,0.7176980864260105,0.4465730078142913,31.184313725490195
87400,0.0471976401179941,0.6144762981140549,0.8690007145497095,0.4758991883174583,34.77296137339056
50479,0.05725190839694656,0.6552780424957785,0.9267030948228231,0.4863295004957179,24.59442896935933
256935,0.0367816091954023,0.5424508028966484,0.7671412823766146,0.45636721069909847,53.56294802867384
233405,0.039119804400977995,0.5594268810200526,0.791149082294638,0.4610442380952783,48.72070165537998
65939,0.03826530612244898,0.5357142857142857,0.7576144084141581,0.4535138926678249,30.455023923444976
83400,0.06201550387596899,0.7043607250604991,0.9961164901835046,0.49929927993144535,53.07928483353884
22373,0.05211726384364821,0.6457074498170094,0.9131682328565593,0.4841387172215138,32.555320247933885
230692,0.0453257790368272,0.6021679435959851,0.8515940726597592,0.47261635030348315,71.37299270072992
29771,0.05161290322580645,0.6425754631219991,0.9087389347953037,0.483318012649842,42.235449735449734
76124,0.05211726384364821,0.6457074498170094,0.9131682328565593,0.4841387172215138,61.56031331592689
31544,0.0653061224489796,0.7228063223242011,1.0222025039999039,0.503991744456809,56.08383940620783
